7205	36.527	2256.2	6819.67	1298.38	9882.3	9908.09	73504.2	6527.95	5066.05	
7206	37.067	2240.25	6819.67	1288.98	9878.61	9956.03	73890.9	6548.73	5069.42	
7207	37.617	2243.44	6833.59	1304.64	9867.56	10004	74316.4	6611.14	5099.75	
7208	38.166	2230.69	6833.59	1301.52	9845.45	10055.8	74809.3	6642.36	5140.22	
7209	38.716	2217.92	6882.38	1298.38	9804.97	10114.9	75426.9	6694.45	5170.58	
7210	39.276	2205.17	6878.89	1298.38	9804.97	10170.5	75869.5	6753.55	5204.36	
7211	39.826	2201.98	6906.78	1304.64	9764.52	10240.9	76599.3	6798.78	5200.97	
7212	40.375	2205.17	6934.7	1295.25	9768.19	10285.4	76980.8	6854.5	5244.91	
7213	40.925	2205.17	6931.2	1310.91	9749.81	10341.1	77671.8	6882.38	5258.42	
7214	41.475	2189.23	6973.09	1314.05	9731.44	10400.6	78261.3	6924.23	5309.17	
7215	42.034	2198.8	6987.08	1326.58	9702.03	10463.9	78854.9	6962.63	5336.25	
7216	42.581	2201.98	7025.5	1329.7	9691.03	10516	79501.5	7015.03	5363.34	
7217	43.129	2195.61	7049.98	1326.58	9680.02	10613	80142.9	7056.97	5373.52	
7218	43.679	2205.17	7081.47	1332.84	9639.64	10680.3	80928.7	7109.47	5420.97	
7219	44.259	2211.55	7081.47	1332.84	9639.64	10751.3	81178.8	7147.98	5434.53	
7220	44.789	2211.55	7116.47	1342.23	9617.64	10807.5	81923.2	7172.53	5427.75	
7221	45.338	2195.61	7119.98	1351.64	9610.31	10856.3	82317.9	7204.08	5458.3	
7222	45.888	2201.98	7133.98	1342.23	9588.31	10923.8	82714.4	7249.7	5458.3	
7223	46.438	2208.36	7151.5	1342.23	9577.31	10927.6	83225.2	7256.72	5492.25	
7224	47.007	2201.98	7155	1342.23	9555.33	10991.4	83574.3	7284.81	5516.02	
7225	47.537	2205.17	7186.55	1348.5	9540.69	11055.4	84131.3	7326.98	5536.41	
7226	48.091	2208.36	7200.58	1354.78	9540.69	11074.2	84577.3	7337.52	5546.61	
7227	48.641	2227.48	7249.7	1351.64	9496.77	11134.5	85182.3	7369.19	5570.41	
7228	49.191	2214.73	7253.2	1367.31	9507.73	11194.8	85444.3	7407.89	5584.02	
7229	49.751	2227.48	7277.78	1367.31	9482.13	11259	86065.5	7429.02	5597.63	
