6702	0.651	12666.8	38965.2	8795.13	11078	215912	932917	55328	136081	
6703	1.241	12655.1	38876.9	8777.06	11074.2	216034	932470	55210.3	135690	
6704	1.751	12643.5	38841.6	8769.83	11066.7	215411	924801	55195.6	135809	
6705	2.29	12624.2	38876.9	8769.83	11066.7	215183	930440	55283.9	135834	
6706	2.85	12624.2	38776.9	8755.39	11062.9	215274	935651	55136.8	135741	
6707	3.39	12628	38724	8755.39	11070.4	215335	930116	55092.8	135749	
6708	3.93	12616.4	38776.9	8769.83	11044.1	214956	927049	55144.2	136106	
6709	4.489	12631.9	38788.7	8769.83	11051.6	215350	930116	55173.5	135707	
6710	5.019	12624.2	38788.7	8751.78	11059.1	215684	931170	55151.5	135445	
6711	5.569	12608.7	38759.3	8755.39	11047.9	215274	924520	55129.5	135749	
6712	6.128	12612.5	38806.3	8762.61	11051.6	215153	930116	55269.1	135843	
6713	6.668	12643.5	38782.8	8762.61	11040.3	215395	936962	55188.3	135826	
6714	7.238	12635.8	38712.3	8766.22	11055.4	215669	930683	55100.1	135741	
6715	7.758	12620.3	38776.9	8773.45	11062.9	215517	925843	55188.3	136157	
6716	8.307	12639.7	38865.1	8759	11040.3	215745	931698	55276.5	135996	
6717	8.847	12639.7	38847.5	8762.61	11047.9	216293	935365	55239.7	135851	
6718	9.397	12643.5	38823.9	8773.45	11059.1	216080	933406	55195.6	136319	
6719	9.936	12655.1	38912.2	8787.89	11059.1	215897	933528	55217.7	136566	
6720	10.496	12678.4	38918.1	8773.45	11059.1	216385	940791	55239.7	136507	
6721	11.026	12666.8	38871	8777.06	11059.1	216599	934915	55151.5	136447	
6722	11.576	12651.3	38935.8	8795.13	11062.9	216492	929510	55261.8	136977	
6723	12.125	12666.8	38965.2	8802.34	11059.1	216568	935610	55305.9	136635	
6724	12.675	12686.1	38935.8	8777.06	11059.1	217120	937660	55210.3	136438	
6725	13.235	12674.5	38941.7	8820.41	11062.9	216660	936142	55195.6	136720	
6726	13.762	12662.9	39006.5	8798.73	11062.9	216355	936060	55188.3	136900	
6727	14.309	12693.9	38941.7	8795.13	11051.6	216630	942944	55180.9	136780	
6728	14.849	12690	38906.3	8809.56	11066.7	216752	935610	55100.1	136857	
6729	15.398	12682.3	38965.2	8813.17	11066.7	216217	932307	55210.3	137106	
6730	15.948	12682.3	39041.9	8813.17	11055.4	216706	935774	55225	136789	
6731	16.498	12682.3	38965.2	8798.73	11070.4	217120	936839	55210.3	136669	
6732	17.048	12662.9	38929.9	8798.73	11062.9	216538	929429	55173.5	136780	
6733	17.587	12666.8	38994.7	8795.13	11040.3	216599	935283	55217.7	136712	
